HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"005.504",CFGLOC101853,"Central Plains Soil Temp Profile SP5, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-0.27,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.504",CFGLOC101853,"Central Plains Soil Temp Profile SP5, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-0.27,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
"005.505",CFGLOC101855,"Central Plains Soil Temp Profile SP5, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-0.47,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.505",CFGLOC101855,"Central Plains Soil Temp Profile SP5, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-0.47,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
"005.506",CFGLOC101857,"Central Plains Soil Temp Profile SP5, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-0.67,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.506",CFGLOC101857,"Central Plains Soil Temp Profile SP5, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-0.67,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
"005.507",CFGLOC101859,"Central Plains Soil Temp Profile SP5, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-1.07,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.507",CFGLOC101859,"Central Plains Soil Temp Profile SP5, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-1.07,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
"005.508",CFGLOC101861,"Central Plains Soil Temp Profile SP5, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-1.57,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.508",CFGLOC101861,"Central Plains Soil Temp Profile SP5, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-1.57,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
